Instance Type,Memory,VCPU
t2.micro,1,"1 "
m3.medium,3,"1 "
t2.small,2,"1 "
m1.medium,3,"1 "
m1.small,1,"1 "
t1.micro,0,"1 "
t2.nano,0,"1 "
i3en.3xlarge,96,"12 "
z1d.3xlarge,96,"12 "
m5zn.3xlarge,48,"12 "
x2idn.32xlarge,2048,"128 "
c6i.32xlarge,256,"128 "
i4i.32xlarge,1024,"128 "
m6id.32xlarge,512,"128 "
x2iedn.32xlarge,4096,"128 "
c6id.32xlarge,256,"128 "
i4i.metal,1024,"128 "
c6id.metal,256,"128 "
m6id.metal,512,"128 "
r6i.metal,1024,"128 "
r6a.32xlarge,1024,"128 "
x2idn.metal,2048,"128 "
m6a.32xlarge,512,"128 "
c6a.32xlarge,256,"128 "
m6i.metal,512,"128 "
r6id.32xlarge,1024,"128 "
x1.32xlarge,1952,"128 "
x1e.32xlarge,3904,"128 "
x2iedn.metal,4096,"128 "
c6i.metal,256,"128 "
r6id.metal,1024,"128 "
r6i.32xlarge,1024,"128 "
m6i.32xlarge,512,"128 "
c5ad.4xlarge,32,"16 "
r4.4xlarge,122,"16 "
m5n.4xlarge,64,"16 "
d3en.4xlarge,64,"16 "
c5a.4xlarge,32,"16 "
r5.4xlarge,128,"16 "
r5b.4xlarge,128,"16 "
d2.4xlarge,122,"16 "
m5ad.4xlarge,64,"16 "
d3.4xlarge,128,"16 "
m5d.4xlarge,64,"16 "
r5a.4xlarge,128,"16 "
r3.4xlarge,122,"16 "
r5ad.4xlarge,128,"16 "
hs1.8xlarge,117,"16 "
g5.4xlarge,64,"16 "
g3.4xlarge,122,"16 "
g4ad.4xlarge,64,"16 "
g4dn.4xlarge,64,"16 "
m5a.4xlarge,64,"16 "
i4i.4xlarge,128,"16 "
r6id.4xlarge,128,"16 "
r5d.4xlarge,128,"16 "
m6i.4xlarge,64,"16 "
c5d.4xlarge,32,"16 "
r5n.4xlarge,128,"16 "
c6id.4xlarge,32,"16 "
c6i.4xlarge,32,"16 "
x2iezn.4xlarge,512,"16 "
i2.4xlarge,122,"16 "
m4.4xlarge,64,"16 "
x2iedn.4xlarge,512,"16 "
m5dn.4xlarge,64,"16 "
r5dn.4xlarge,128,"16 "
r6i.4xlarge,128,"16 "
c5n.4xlarge,42,"16 "
x1e.4xlarge,488,"16 "
h1.4xlarge,64,"16 "
c5.4xlarge,32,"16 "
r6a.4xlarge,128,"16 "
c4.4xlarge,30,"16 "
i3.4xlarge,122,"16 "
c3.4xlarge,30,"16 "
m6a.4xlarge,64,"16 "
c6a.4xlarge,32,"16 "
m6id.4xlarge,64,"16 "
m5.4xlarge,64,"16 "
c6a.48xlarge,384,"192 "
c6a.metal,384,"192 "
r6a.metal,1536,"192 "
r6a.48xlarge,1536,"192 "
m6a.48xlarge,768,"192 "
m6a.metal,768,"192 "
g5.48xlarge,768,"192 "
i3.large,15,"2 "
r5ad.large,16,"2 "
r5.large,16,"2 "
m5zn.large,8,"2 "
c6a.large,4,"2 "
r6id.large,16,"2 "
c6id.large,4,"2 "
r5d.large,16,"2 "
m5n.large,8,"2 "
r5dn.large,16,"2 "
t3a.large,8,"2 "
t3.micro,1,"2 "
t3.small,2,"2 "
t3.large,8,"2 "
t3a.micro,1,"2 "
t2.medium,4,"2 "
t3a.nano,0,"2 "
t3.nano,0,"2 "
t3a.small,2,"2 "
m1.large,7,"2 "
m2.xlarge,17,"2 "
c1.medium,1,"2 "
z1d.large,16,"2 "
c5ad.large,4,"2 "
c5a.large,4,"2 "
m3.large,7,"2 "
r4.large,15,"2 "
m6a.large,8,"2 "
c6i.large,4,"2 "
m5dn.large,8,"2 "
m5d.large,8,"2 "
c4.large,3,"2 "
c5d.large,4,"2 "
m5ad.large,8,"2 "
t3a.medium,4,"2 "
i3en.large,16,"2 "
c3.large,3,"2 "
r6a.large,16,"2 "
m4.large,8,"2 "
t3.medium,4,"2 "
m5.large,8,"2 "
r3.large,15,"2 "
m6id.large,8,"2 "
m5a.large,8,"2 "
r5n.large,16,"2 "
t2.large,8,"2 "
r5a.large,16,"2 "
r5b.large,16,"2 "
m6i.large,8,"2 "
i4i.large,16,"2 "
c5n.large,5,"2 "
c5.large,4,"2 "
r6i.large,16,"2 "
u-6tb1.56xlarge,6144,"224 "
u-3tb1.56xlarge,3072,"224 "
d3en.6xlarge,96,"24 "
m5zn.6xlarge,96,"24 "
x2iezn.6xlarge,768,"24 "
i3en.6xlarge,192,"24 "
z1d.6xlarge,192,"24 "
m5dn.8xlarge,128,"32 "
r5b.8xlarge,256,"32 "
r6i.8xlarge,256,"32 "
c5ad.8xlarge,64,"32 "
x2iezn.8xlarge,1024,"32 "
m5ad.8xlarge,128,"32 "
r5ad.8xlarge,256,"32 "
m6id.8xlarge,128,"32 "
i4i.8xlarge,256,"32 "
i3.8xlarge,244,"32 "
cc2.8xlarge,60,"32 "
r3.8xlarge,244,"32 "
cr1.8xlarge,244,"32 "
m5n.8xlarge,128,"32 "
g4dn.8xlarge,128,"32 "
g4ad.8xlarge,128,"32 "
g3.8xlarge,244,"32 "
g5.8xlarge,128,"32 "
g2.8xlarge,60,"32 "
p3.8xlarge,244,"32 "
p2.8xlarge,488,"32 "
r4.8xlarge,244,"32 "
h1.8xlarge,128,"32 "
r5d.8xlarge,256,"32 "
r6a.8xlarge,256,"32 "
c6i.8xlarge,64,"32 "
r6id.8xlarge,256,"32 "
m6a.8xlarge,128,"32 "
i2.8xlarge,244,"32 "
r5dn.8xlarge,256,"32 "
r5a.8xlarge,256,"32 "
c6a.8xlarge,64,"32 "
c6id.8xlarge,64,"32 "
d3en.8xlarge,128,"32 "
x1e.8xlarge,976,"32 "
c3.8xlarge,60,"32 "
m5a.8xlarge,128,"32 "
r5.8xlarge,256,"32 "
c5a.8xlarge,64,"32 "
d3.8xlarge,256,"32 "
m5d.8xlarge,128,"32 "
m5.8xlarge,128,"32 "
m6i.8xlarge,128,"32 "
r5n.8xlarge,256,"32 "
x2iedn.8xlarge,1024,"32 "
c5n.9xlarge,96,"36 "
c4.8xlarge,60,"36 "
c5d.9xlarge,72,"36 "
c5.9xlarge,72,"36 "
d2.8xlarge,244,"36 "
i2.xlarge,30,"4 "
r5dn.xlarge,32,"4 "
r5ad.xlarge,32,"4 "
m6id.xlarge,16,"4 "
c5ad.xlarge,8,"4 "
c5d.xlarge,8,"4 "
m5dn.xlarge,16,"4 "
r5b.xlarge,32,"4 "
x1e.xlarge,122,"4 "
m5d.xlarge,16,"4 "
m5ad.xlarge,16,"4 "
c4.xlarge,7,"4 "
m6a.xlarge,16,"4 "
c5.xlarge,8,"4 "
r5n.xlarge,32,"4 "
i3en.xlarge,32,"4 "
i3.xlarge,30,"4 "
m5a.xlarge,16,"4 "
r5.xlarge,32,"4 "
t2.xlarge,16,"4 "
m6i.xlarge,16,"4 "
r6id.xlarge,32,"4 "
c3.xlarge,7,"4 "
m4.xlarge,16,"4 "
d2.xlarge,30,"4 "
m1.xlarge,15,"4 "
c6i.xlarge,8,"4 "
c6a.xlarge,8,"4 "
r6i.xlarge,32,"4 "
z1d.xlarge,32,"4 "
m5.xlarge,16,"4 "
m3.xlarge,15,"4 "
m5n.xlarge,16,"4 "
r5d.xlarge,32,"4 "
r3.xlarge,30,"4 "
r6a.xlarge,32,"4 "
c5n.xlarge,10,"4 "
x2iedn.xlarge,128,"4 "
d3en.xlarge,16,"4 "
g4dn.xlarge,16,"4 "
p2.xlarge,61,"4 "
g4ad.xlarge,16,"4 "
g5.xlarge,16,"4 "
m2.2xlarge,34,"4 "
g3s.xlarge,30,"4 "
i4i.xlarge,32,"4 "
d3.xlarge,32,"4 "
t3a.xlarge,16,"4 "
c6id.xlarge,8,"4 "
m5zn.xlarge,16,"4 "
r5a.xlarge,32,"4 "
r4.xlarge,30,"4 "
c5a.xlarge,8,"4 "
t3.xlarge,16,"4 "
m4.10xlarge,160,"40 "
u-12tb1.112xlarge,12288,"448 "
u-9tb1.112xlarge,9216,"448 "
u-6tb1.112xlarge,6144,"448 "
m5zn.12xlarge,192,"48 "
z1d.12xlarge,384,"48 "
c6id.12xlarge,96,"48 "
c5d.12xlarge,96,"48 "
m6id.12xlarge,192,"48 "
r5a.12xlarge,384,"48 "
r5dn.12xlarge,384,"48 "
m6a.12xlarge,192,"48 "
m6i.12xlarge,192,"48 "
c5ad.12xlarge,96,"48 "
m5ad.12xlarge,192,"48 "
r5d.12xlarge,384,"48 "
g4dn.12xlarge,192,"48 "
g5.12xlarge,192,"48 "
x2iezn.12xlarge,1536,"48 "
m5d.12xlarge,192,"48 "
r6a.12xlarge,384,"48 "
i3en.12xlarge,384,"48 "
r5n.12xlarge,384,"48 "
d3en.12xlarge,192,"48 "
c5.12xlarge,96,"48 "
r6id.12xlarge,384,"48 "
c6i.12xlarge,96,"48 "
r5.12xlarge,384,"48 "
m5zn.metal,192,"48 "
m5n.12xlarge,192,"48 "
m5a.12xlarge,192,"48 "
m5.12xlarge,192,"48 "
x2iezn.metal,1536,"48 "
m5dn.12xlarge,192,"48 "
r5ad.12xlarge,384,"48 "
c5a.12xlarge,96,"48 "
z1d.metal,384,"48 "
c6a.12xlarge,96,"48 "
r5b.12xlarge,384,"48 "
r6i.12xlarge,384,"48 "
x2iedn.16xlarge,2048,"64 "
m4.16xlarge,256,"64 "
m6id.16xlarge,256,"64 "
c6a.16xlarge,128,"64 "
m6a.16xlarge,256,"64 "
r4.16xlarge,488,"64 "
r6i.16xlarge,512,"64 "
r6id.16xlarge,512,"64 "
c6id.16xlarge,128,"64 "
r5dn.16xlarge,512,"64 "
r5n.16xlarge,512,"64 "
c6i.16xlarge,128,"64 "
r5a.16xlarge,512,"64 "
r5b.16xlarge,512,"64 "
m5a.16xlarge,256,"64 "
x1.16xlarge,976,"64 "
m6i.16xlarge,256,"64 "
m5dn.16xlarge,256,"64 "
m5d.16xlarge,256,"64 "
m5.16xlarge,256,"64 "
r6a.16xlarge,512,"64 "
i4i.16xlarge,512,"64 "
x1e.16xlarge,1952,"64 "
m5n.16xlarge,256,"64 "
r5ad.16xlarge,512,"64 "
g4ad.16xlarge,256,"64 "
p2.16xlarge,732,"64 "
p3.16xlarge,488,"64 "
g3.16xlarge,488,"64 "
g4dn.16xlarge,256,"64 "
g5.16xlarge,256,"64 "
m5ad.16xlarge,256,"64 "
i3.16xlarge,488,"64 "
r5d.16xlarge,512,"64 "
h1.16xlarge,256,"64 "
c5a.16xlarge,128,"64 "
c5ad.16xlarge,128,"64 "
r5.16xlarge,512,"64 "
x2idn.16xlarge,1024,"64 "
i3.metal,512,"72 "
c5n.metal,192,"72 "
c5.18xlarge,144,"72 "
c5n.18xlarge,192,"72 "
c5d.18xlarge,144,"72 "
t2.2xlarge,32,"8 "
i3en.2xlarge,64,"8 "
d3.2xlarge,64,"8 "
c6i.2xlarge,16,"8 "
c6id.2xlarge,16,"8 "
m5.2xlarge,32,"8 "
m6id.2xlarge,32,"8 "
x2iedn.2xlarge,256,"8 "
m5a.2xlarge,32,"8 "
m5ad.2xlarge,32,"8 "
i2.2xlarge,61,"8 "
c5d.2xlarge,16,"8 "
i4i.2xlarge,64,"8 "
c6a.2xlarge,16,"8 "
r5d.2xlarge,64,"8 "
r5n.2xlarge,64,"8 "
x2iezn.2xlarge,256,"8 "
r5.2xlarge,64,"8 "
m3.2xlarge,30,"8 "
c3.2xlarge,15,"8 "
m5d.2xlarge,32,"8 "
m5n.2xlarge,32,"8 "
c5n.2xlarge,21,"8 "
d3en.2xlarge,32,"8 "
c5a.2xlarge,16,"8 "
r5ad.2xlarge,64,"8 "
z1d.2xlarge,64,"8 "
r3.2xlarge,61,"8 "
r4.2xlarge,61,"8 "
r6a.2xlarge,64,"8 "
t3.2xlarge,32,"8 "
d2.2xlarge,61,"8 "
r6i.2xlarge,64,"8 "
r5dn.2xlarge,64,"8 "
x1e.2xlarge,244,"8 "
r6id.2xlarge,64,"8 "
m6i.2xlarge,32,"8 "
h1.2xlarge,32,"8 "
c5.2xlarge,16,"8 "
r5a.2xlarge,64,"8 "
i3.2xlarge,61,"8 "
c5ad.2xlarge,16,"8 "
m5dn.2xlarge,32,"8 "
m4.2xlarge,32,"8 "
m2.4xlarge,68,"8 "
c1.xlarge,7,"8 "
p3.2xlarge,61,"8 "
g2.2xlarge,15,"8 "
g4ad.2xlarge,32,"8 "
g5.2xlarge,32,"8 "
g4dn.2xlarge,32,"8 "
m5zn.2xlarge,32,"8 "
r5b.2xlarge,64,"8 "
m6a.2xlarge,32,"8 "
c4.2xlarge,15,"8 "
t3a.2xlarge,32,"8 "
c5a.24xlarge,192,"96 "
x2idn.24xlarge,1536,"96 "
m5ad.24xlarge,384,"96 "
x2iedn.24xlarge,3072,"96 "
r6a.24xlarge,768,"96 "
m5d.metal,384,"96 "
m5a.24xlarge,384,"96 "
c6a.24xlarge,192,"96 "
c5ad.24xlarge,192,"96 "
r6i.24xlarge,768,"96 "
r5b.metal,768,"96 "
g5.24xlarge,384,"96 "
p3dn.24xlarge,768,"96 "
r5dn.24xlarge,768,"96 "
g4dn.metal,384,"96 "
c5d.metal,192,"96 "
m6id.24xlarge,384,"96 "
r5ad.24xlarge,768,"96 "
r5n.metal,768,"96 "
m5.metal,384,"96 "
r5.24xlarge,768,"96 "
r6id.24xlarge,768,"96 "
c5d.24xlarge,192,"96 "
r5b.24xlarge,768,"96 "
r5d.metal,768,"96 "
r5.metal,768,"96 "
m5.24xlarge,384,"96 "
m5d.24xlarge,384,"96 "
i3en.metal,768,"96 "
m5n.metal,384,"96 "
c5.metal,192,"96 "
m6a.24xlarge,384,"96 "
c5.24xlarge,192,"96 "
m6i.24xlarge,384,"96 "
c6i.24xlarge,192,"96 "
r5n.24xlarge,768,"96 "
r5dn.metal,768,"96 "
m5dn.metal,384,"96 "
m5dn.24xlarge,384,"96 "
i3en.24xlarge,768,"96 "
r5a.24xlarge,768,"96 "
m5n.24xlarge,384,"96 "
c6id.24xlarge,192,"96 "
r5d.24xlarge,768,"96 "
